exp_id,max_frames,weights_fn,tracker_type,track_high_thresh,track_low_thresh,new_track_thresh,track_buffer,match_thresh
test_ow_tht02,100,best-organizers.pt,bytetrack,0.2,0.1,0.6,30,0.8
test_ow_tht03,100,best-organizers.pt,bytetrack,0.3,0.1,0.6,30,0.8
