exp_id,max_frames,weights_fn,tracker_type,max_age,min_hits,iou_threshold,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),Dets,GT_Dets,IDs,GT_IDs
yolov8le1000s100_dp_epoch600,10000,yolov8le1000s100_dp_epoch600.pt,sort,2,0,0.07,38.15,92.408,15.766,94.791,95.003,18.754,55.214,93.408,38.658,40.684,92.746,37.733,99777,100000,57,10
yolov8le1000s100_dp_epoch700,10000,yolov8le1000s100_dp_epoch700.pt,sort,2,0,0.07,38.55,92.339,16.109,94.73,94.94,20.058,50.423,93.351,39.064,41.183,92.68,38.168,99779,100000,54,10
yolov8le1000s100_dp_epoch800,10000,yolov8le1000s100_dp_epoch800.pt,sort,2,0,0.07,38.961,92.401,16.443,94.762,94.975,19.985,53.413,93.366,39.473,41.62,92.718,38.589,99776,100000,51,10
yolov8le1000s100_dp_epoch900,10000,yolov8le1000s100_dp_epoch900.pt,sort,2,0,0.07,40.081,92.444,17.391,94.8,95.016,20.673,55.586,93.401,40.602,42.817,92.754,39.714,99773,100000,49,10
sortma2mh0it007yolo8x300e_dp,10000,yolov8x300e_dp.pt,sort,2,0,0.07,38.709,91.949,16.312,94.492,94.696,18.328,61.276,93.254,39.259,41.509,92.481,38.388,99785,100000,72,10
yolov8le200b32,10000,yolov8le200b32.pt,sort,2,0,0.07,39.649,92.523,17.005,94.835,95.04,19.952,54.662,93.383,40.158,42.284,92.802,39.24,99784,100000,61,10
yolov8le200b64,10000,yolov8le200b64.pt,sort,2,0,0.07,37.858,92.533,15.504,94.798,94.992,19.03,53.512,93.291,38.336,40.371,92.759,37.447,99795,100000,65,10
yolov8le1000b128gpu2,10000,yolov8le1000b128gpu2.pt,sort,2,0,0.07,37.261,92.483,15.026,94.773,94.963,17.584,53.017,93.308,37.735,39.765,92.76,36.886,99800,100000,72,10
yolov8le1000b128gpu2_epoch100,10000,yolov8le1000b128gpu2_epoch100.pt,sort,2,0,0.07,40.234,91.829,17.646,94.25,94.471,20.135,62.045,92.916,40.781,43.179,92.288,39.849,99766,100000,93,10
yolov8le1000b128gpu2_epoch200,10000,yolov8le1000b128gpu2_epoch200.pt,sort,2,0,0.07,37.083,92.565,14.872,94.794,94.995,17.03,54.969,93.27,37.547,39.516,92.757,36.653,99788,100000,68,10
yolov8le1000b128gpu2_epoch300,10000,yolov8le1000b128gpu2_epoch300.pt,sort,2,0,0.07,37.166,92.382,14.966,94.714,94.931,17.952,50.86,93.281,37.649,39.697,92.671,36.788,99771,100000,61,10
yolov8le1000b128gpu2_epoch400,10000,yolov8le1000b128gpu2_epoch400.pt,sort,2,0,0.07,38.298,92.425,15.885,94.673,94.887,18.714,54.595,93.096,38.779,40.88,92.55,37.835,99774,100000,58,10
yolov8le1000b128gpu2_epoch500,10000,yolov8le1000b128gpu2_epoch500.pt,sort,2,0,0.07,38.13,92.084,15.807,94.529,94.742,19.079,54.661,93.168,38.655,40.784,92.468,37.712,99775,100000,56,10
yolov8le1000b128gpu2_epoch600,10000,yolov8le1000b128gpu2_epoch600.pt,sort,2,0,0.07,37.401,92.463,15.144,94.72,94.936,18.291,51.26,93.221,37.873,39.907,92.662,36.979,99773,100000,53,10
yolov8le1000b128gpu2_epoch700,10000,yolov8le1000b128gpu2_epoch700.pt,sort,2,0,0.07,38.246,92.666,15.799,94.868,95.084,19.16,52.916,93.316,38.714,40.761,92.801,37.826,99773,100000,53,10
yolov8le1000b128gpu2_epoch800,10000,yolov8le1000b128gpu2_epoch800.pt,sort,2,0,0.07,38.399,92.605,15.937,94.84,95.065,19.029,53.291,93.352,38.877,40.933,92.801,37.986,99763,100000,52,10
yolov8le1000b128gpu2_epoch900,10000,yolov8le1000b128gpu2_epoch900.pt,sort,2,0,0.07,39.834,92.325,17.2,94.679,94.906,19.434,57.898,93.312,40.354,42.572,92.669,39.451,99760,100000,49,10
yolov8xe1000b64gpu2,10000,yolov8xe1000b64gpu2.pt,sort,2,0,0.07,37.798,92.709,15.424,94.984,95.201,18.219,53.064,93.53,38.275,40.227,92.95,37.391,99772,100000,50,10
yolov8xe1000b64gpu2_epoch100,10000,yolov8xe1000b64gpu2_epoch100.pt,sort,2,0,0.07,40.36,92.354,17.657,94.62,94.827,20.364,63.017,93.144,40.874,43.089,92.617,39.908,99781,100000,74,10
yolov8xe1000b64gpu2_epoch200,10000,yolov8xe1000b64gpu2_epoch200.pt,sort,2,0,0.07,38.05,92.438,15.68,94.74,94.951,19.748,50.42,93.281,38.542,40.567,92.717,37.613,99777,100000,59,10
yolov8xe1000b64gpu2_epoch300,10000,yolov8xe1000b64gpu2_epoch300.pt,sort,2,0,0.07,39.987,92.597,17.285,94.857,95.056,20.693,55.389,93.349,40.491,42.606,92.809,39.542,99791,100000,56,10
yolov8xe1000b64gpu2_epoch400,10000,yolov8xe1000b64gpu2_epoch400.pt,sort,2,0,0.07,39.08,92.418,16.54,94.779,94.97,19.791,54.526,93.362,39.592,41.704,92.745,38.679,99799,100000,54,10
yolov8xe1000b64gpu2_epoch500,10000,yolov8xe1000b64gpu2_epoch500.pt,sort,2,0,0.07,38.185,92.384,15.797,94.769,94.971,19.451,51.619,93.389,38.691,40.778,92.739,37.817,99787,100000,48,10
yolov8xe1000b64gpu2_epoch600,10000,yolov8xe1000b64gpu2_epoch600.pt,sort,2,0,0.07,37.971,92.634,15.579,94.9,95.104,18.798,53.822,93.408,38.45,40.461,92.842,37.565,99785,100000,51,10
yolov8xe1000b64gpu2_epoch700,10000,yolov8xe1000b64gpu2_epoch700.pt,sort,2,0,0.07,38.633,92.771,16.103,94.962,95.17,19.084,56.11,93.418,39.104,41.113,92.905,38.196,99781,100000,51,10
yolov8xe1000b64gpu2_epoch800,10000,yolov8xe1000b64gpu2_epoch800.pt,sort,2,0,0.07,38.391,92.45,15.957,94.804,95.007,18.711,55.675,93.4,38.894,40.977,92.758,38.009,99786,100000,52,10
yolov8xe1000b64gpu2_epoch900,10000,yolov8xe1000b64gpu2_epoch900.pt,sort,2,0,0.07,39.003,92.79,16.41,94.998,95.202,19.393,54.354,93.476,39.483,41.47,92.946,38.545,99786,100000,46,10
sortma1mh3it03_dp,10000,best-organizers.pt,sort,1,3,0.3,36.669,92.577,14.542,94.612,95.281,14.921,83.228,93.433,37.092,38.904,93.004,36.182,99298,100000,130,10
sortmh3it03ma0,10000,best-organizers.pt,sort,0,3,0.3,35.407,92.653,13.546,94.655,95.325,13.825,84.688,93.448,35.808,37.535,93.046,34.925,99297,100000,154,10
sortmh3it03ma4,10000,best-organizers.pt,sort,4,3,0.3,40.07,92.504,17.377,94.581,95.224,19.105,70.213,93.412,40.54,42.544,92.951,39.545,99324,100000,97,10
sortmh3it03ma8,10000,best-organizers.pt,sort,8,3,0.3,39.218,92.191,16.701,94.408,95.062,18.423,68.732,93.377,39.708,41.806,92.796,38.794,99312,100000,96,10
sortmh3it03ma12,10000,best-organizers.pt,sort,12,3,0.3,37.9,92.196,15.598,94.407,95.07,17.143,67.355,93.381,38.374,40.38,92.803,37.474,99303,100000,96,10
sortmh3it03ma16,10000,best-organizers.pt,sort,16,3,0.3,37.564,92.187,15.324,94.4,95.067,16.92,67.185,93.38,38.034,40.029,92.801,37.147,99299,100000,97,10
sortmh3it03ma20,10000,best-organizers.pt,sort,20,3,0.3,37.564,92.184,15.325,94.397,95.066,16.921,67.184,93.38,38.034,40.029,92.801,37.147,99296,100000,97,10
sortma1it03mh0,10000,best-organizers.pt,sort,1,0,0.3,36.735,92.992,14.529,95.064,95.269,14.909,83.178,93.44,37.164,38.975,93.01,36.251,99784,100000,179,10
sortma1it03mh4,10000,best-organizers.pt,sort,1,4,0.3,36.644,92.433,14.544,94.462,95.278,14.923,83.247,93.431,37.065,38.877,93.002,36.156,99144,100000,130,10
sortma1it03mh8,10000,best-organizers.pt,sort,1,8,0.3,36.544,91.868,14.553,93.878,95.276,14.931,83.317,93.432,36.962,38.769,92.999,36.055,98533,100000,128,10
sortma1it03mh12,10000,best-organizers.pt,sort,1,12,0.3,36.447,91.348,14.559,93.327,95.292,14.935,83.386,93.445,36.861,38.659,93.015,35.959,97938,100000,124,10
sortma1it03mh16,10000,best-organizers.pt,sort,1,16,0.3,36.35,90.846,14.561,92.797,95.312,14.936,83.448,93.458,36.759,38.549,93.033,35.863,97361,100000,122,10
sortma1it03mh20,10000,best-organizers.pt,sort,1,20,0.3,36.252,90.335,14.564,92.266,95.32,14.937,83.506,93.468,36.657,38.443,93.04,35.767,96796,100000,122,10
sortma1mh3it00,10000,best-organizers.pt,sort,1,3,0.0,39.304,92.258,16.758,94.543,94.99,17.905,70.754,93.322,39.803,41.96,92.728,38.909,99529,100000,66,10
sortma1mh3it03,10000,best-organizers.pt,sort,1,3,0.3,36.669,92.577,14.542,94.612,95.281,14.921,83.228,93.433,37.092,38.904,93.004,36.182,99298,100000,130,10
sortma1mh3it06,10000,best-organizers.pt,sort,1,3,0.6,17.027,90.319,3.2146,91.744,96.354,3.2277,93.586,94.273,17.173,17.785,94.026,16.722,95215,100000,834,10
sortma1mh3it09,10000,best-organizers.pt,sort,1,3,0.9,0.31495,0.95915,0.10343,0.95921,99.297,0.10343,99.646,97.05,0.31496,0.31629,97.016,0.30685,966,100000,208,10
sortma1mh3it12,10000,best-organizers.pt,sort,1,3,1.2,0.017305,0.029947,0.01,0.029947,99.825,0.01,100,96.766,0.017305,0.017321,96.759,0.016759,30,100000,30,10
yolov8le1000b144gpu1,10000,yolov8le1000b144gpu1.pt,sort,2,0,0.07,40.603,92.715,17.798,94.888,95.134,20.176,63.039,93.246,41.094,43.25,92.745,40.112,99741,100000,60,10
yolov8le1000b144gpu1_epoch100,10000,yolov8le1000b144gpu1_epoch100.pt,sort,2,0,0.07,39.805,91.443,17.345,94.024,94.184,19.314,64.924,92.791,40.383,42.851,92.055,39.446,99830,100000,106,10
yolov8le1000b144gpu1_epoch200,10000,yolov8le1000b144gpu1_epoch200.pt,sort,2,0,0.07,40.213,92.622,17.475,94.813,95.016,20.088,62.938,93.268,40.704,42.88,92.787,39.787,99786,100000,71,10
yolov8le1000b144gpu1_epoch300,10000,yolov8le1000b144gpu1_epoch300.pt,sort,2,0,0.07,40.134,92.422,17.443,94.731,94.953,19.721,59.914,93.306,40.649,42.862,92.719,39.741,99766,100000,56,10
yolov8le1000b144gpu1_epoch400,10000,yolov8le1000b144gpu1_epoch400.pt,sort,2,0,0.07,41.445,92.462,18.593,94.719,94.932,21.337,58.989,93.162,41.964,44.28,92.608,41.007,99775,100000,57,10
yolov8le1000b144gpu1_epoch500,10000,yolov8le1000b144gpu1_epoch500.pt,sort,2,0,0.07,39.663,92.424,17.038,94.615,94.824,20.096,55.877,92.943,40.15,42.344,92.436,39.141,99779,100000,54,10
yolov8le1000b144gpu1_epoch600,10000,yolov8le1000b144gpu1_epoch600.pt,sort,2,0,0.07,39.446,92.21,16.891,94.471,94.684,19.143,58.545,92.851,39.945,42.23,92.279,38.97,99776,100000,58,10
yolov8le1000b144gpu1_epoch700,10000,yolov8le1000b144gpu1_epoch700.pt,sort,2,0,0.07,37.719,92.272,15.434,94.556,94.769,18.254,54.915,92.96,38.201,40.325,92.383,37.254,99775,100000,54,10
yolov8le1000b144gpu1_epoch800,10000,yolov8le1000b144gpu1_epoch800.pt,sort,2,0,0.07,39.904,92.581,17.217,94.791,95.014,19.998,58.707,93.18,40.398,42.517,92.659,39.396,99766,100000,52,10
yolov8le1000b144gpu1_epoch900,10000,yolov8le1000b144gpu1_epoch900.pt,sort,2,0,0.07,40.357,92.683,17.588,94.889,95.116,20.454,60.549,93.285,40.851,42.992,92.768,39.883,99761,100000,56,10
yolov8me200b32,10000,yolov8me200b32.pt,sort,2,0,0.07,38.614,92.359,16.163,94.698,94.897,19.089,56.637,93.272,39.122,41.2,92.674,38.182,99790,100000,65,10
yolov8me200b64,10000,yolov8me200b64.pt,sort,2,0,0.07,39.238,92.428,16.672,94.728,94.926,18.391,63.18,93.268,39.74,41.884,92.706,38.83,99791,100000,71,10
yolov8me200b128,10000,yolov8me200b128.pt,sort,2,0,0.07,40.196,92.01,17.578,94.331,94.531,19.281,64.978,92.924,40.72,43.087,92.326,39.78,99788,100000,78,10
t80v20t0-yolov8le200b144gpu1,10000,t80v20t0-yolov8le200b144gpu1.pt,sort,2,0,0.07,39.009,92.2,16.522,94.405,94.61,20.017,53.25,92.902,39.493,41.729,92.378,38.549,99783,100000,61,10
sortma0mh0it0,10000,t80v20t0-yolov8le200b144gpu1.pt,sort,0,0,0,37.852,91.963,15.594,94.287,94.492,17.005,70.899,92.89,38.344,40.619,92.27,37.479,99783,100000,107,10
sortma5mh0it0,10000,t80v20t0-yolov8le200b144gpu1.pt,sort,5,0,0,39.083,91.994,16.62,94.292,94.497,25.203,35.506,92.853,39.587,41.942,92.27,38.7,99783,100000,32,10
sortma10mh0it0,10000,t80v20t0-yolov8le200b144gpu1.pt,sort,10,0,0,44.382,91.567,21.53,94.063,94.268,30.132,37.146,92.805,45,47.821,92.062,44.025,99783,100000,25,10
sortma15mh0it0,10000,t80v20t0-yolov8le200b144gpu1.pt,sort,15,0,0,44.201,91.482,21.375,94.017,94.222,29.817,36.721,92.792,44.827,47.658,92.019,43.854,99783,100000,24,10
sortma20mh0it0,10000,t80v20t0-yolov8le200b144gpu1.pt,sort,20,0,0,42.732,91.431,19.988,93.99,94.194,29.312,33.744,92.79,43.342,46.137,92.002,42.447,99783,100000,23,10
sortma0mh0it0,10000,best-organizers.pt,sort,0,0,0,37.468,92.686,15.16,94.895,95.101,15.922,76.436,93.355,37.928,39.914,92.849,37.059,99784,100000,107,10
sortma5mh0it0,10000,best-organizers.pt,sort,5,0,0,40.258,92.649,17.508,94.86,95.065,24.255,41.676,93.319,40.752,42.913,92.817,39.831,99784,100000,36,10
sortma10mh0it0,10000,best-organizers.pt,sort,10,0,0,38.888,92.423,16.377,94.737,94.942,23.901,35.837,93.279,39.388,41.545,92.708,38.515,99784,100000,30,10
sortma15mh0it0,10000,best-organizers.pt,sort,15,0,0,38.452,92.379,16.02,94.712,94.917,23.684,33.69,93.268,38.951,41.096,92.685,38.089,99784,100000,28,10
sortma20mh0it0,10000,best-organizers.pt,sort,20,0,0,38.452,92.379,16.02,94.712,94.917,23.684,33.69,93.268,38.951,41.096,92.685,38.089,99784,100000,26,10
