exp_id,max_frames,weights_fn,tracker_type,track_high_thresh,track_low_thresh,new_track_thresh,track_buffer,match_thresh,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),Dets,GT_Dets,IDs,GT_IDs
ow_tht09,100,best-organizers.pt,bytetrack,0.9,0.1,0.6,30,0.8,78.152,86.662,70.501,89.674,91.039,72.593,91.645,90.078,79.475,88.336,88.997,78.617,985,1000,15,10
ow_tlt001,10000,best-organizers.pt,bytetrack,0.5,0.01,0.6,30,0.8,40.108,93.488,17.223,95.501,95.801,23.396,50.746,93.936,40.556,42.326,93.502,39.576,99687,100000,47,10
ow_tlt002,10000,best-organizers.pt,bytetrack,0.5,0.02,0.6,30,0.8,40.108,93.488,17.223,95.501,95.801,23.396,50.746,93.936,40.556,42.326,93.502,39.576,99687,100000,47,10
ow_tlt003,10000,best-organizers.pt,bytetrack,0.5,0.03,0.6,30,0.8,40.108,93.488,17.223,95.501,95.801,23.396,50.746,93.936,40.556,42.326,93.502,39.576,99687,100000,47,10
ow_tlt004,10000,best-organizers.pt,bytetrack,0.5,0.04,0.6,30,0.8,40.108,93.488,17.223,95.501,95.801,23.396,50.746,93.936,40.556,42.326,93.502,39.576,99687,100000,47,10
ow_ntt02,10000,best-organizers.pt,bytetrack,0.5,0.1,0.2,30,0.8,40.108,93.49,17.223,95.502,95.801,23.396,50.746,93.937,40.556,42.326,93.503,39.576,99688,100000,47,10
ow_ntt03,10000,best-organizers.pt,bytetrack,0.5,0.1,0.3,30,0.8,40.108,93.49,17.223,95.502,95.801,23.396,50.746,93.937,40.556,42.326,93.503,39.576,99688,100000,47,10
ow_ntt04,10000,best-organizers.pt,bytetrack,0.5,0.1,0.4,30,0.8,40.108,93.49,17.223,95.502,95.801,23.396,50.746,93.937,40.556,42.326,93.503,39.576,99688,100000,47,10
ow_ntt05,10000,best-organizers.pt,bytetrack,0.5,0.1,0.5,30,0.8,40.108,93.49,17.223,95.502,95.801,23.396,50.746,93.937,40.556,42.326,93.503,39.576,99688,100000,47,10
8xw_dp,10000,best-8x100e.pt,bytetrack,0.5,0.1,0.6,30,0.8,39.121,92.562,16.55,94.684,94.974,21.832,48.207,93.247,39.585,41.682,92.712,38.644,99695,100000,46,10
tuned_dp,10000,best-tuned.pt,bytetrack,0.5,0.1,0.6,30,0.8,39.571,92.857,16.881,94.899,95.176,23.482,46.386,93.397,40.025,42.081,92.923,39.103,99709,100000,47,10
test1,150,best-organizers.pt,bytetrack,0.5,0.1,0.6,30,0.8,71.057,85.033,59.392,88.319,89.999,62.963,82.501,89.338,72.381,81.526,88.009,71.75,1472,1500,17,10
